ключ,где на сайте,русский,узбекский,исправление
test.riasec.answer.5,Вопросы тестов (/test) — из data/tests/*.json,Очень интересно,Juda qiziqarli,
test.riasec.q1,Вопросы тестов (/test) — из data/tests/*.json,Ремонтировать технику или механизмы.,Texnika yoki mexanizmlarni taʼmirlash.,
test.riasec.q2,Вопросы тестов (/test) — из data/tests/*.json,Решать сложные задачи и головоломки.,Murakkab masala va boshqotirmalarni yechish.,
test.riasec.q3,Вопросы тестов (/test) — из data/tests/*.json,Придумывать что-то новое и оригинальное.,Yangi va oʻziga xos narsalar oʻylab topish.,
test.riasec.q4,Вопросы тестов (/test) — из data/tests/*.json,Помогать людям решать их проблемы.,Odamlarga muammolarini hal qilishda yordam berish.,
test.riasec.q5,Вопросы тестов (/test) — из data/tests/*.json,Убеждать людей и вести их за собой.,Odamlarni ishontirish va ularni ortidan ergashtirish.,
test.riasec.q6,Вопросы тестов (/test) — из data/tests/*.json,"Работать с документами, цифрами, таблицами.","Hujjatlar, raqamlar, jadvallar bilan ishlash.",
test.riasec.q7,Вопросы тестов (/test) — из data/tests/*.json,"Работать инструментами, собирать или чинить своими руками.","Asboblar bilan ishlash, oʻz qoʻlingiz bilan yigʻish yoki tuzatish.",
test.riasec.q8,Вопросы тестов (/test) — из data/tests/*.json,"Исследовать, как и почему что-то работает.",Biror narsa qanday va nima uchun ishlashini tadqiq qilish.,
test.riasec.q9,Вопросы тестов (/test) — из data/tests/*.json,"Рисовать, заниматься дизайном, создавать визуальные образы.","Rasm chizish, dizayn qilish, vizual obrazlar yaratish.",
test.riasec.q10,Вопросы тестов (/test) — из data/tests/*.json,Обучать или объяснять что-то другим.,Boshqalarga biror narsani oʻrgatish yoki tushuntirish.,
test.riasec.q11,Вопросы тестов (/test) — из data/tests/*.json,"Начинать своё дело, запускать проекты.","Oʻz ishini boshlash, loyihalarni ishga tushirish.",
test.riasec.q12,Вопросы тестов (/test) — из data/tests/*.json,Наводить порядок и систематизировать информацию.,Tartib oʻrnatish va maʼlumotni tizimlashtirish.,
test.riasec.q13,Вопросы тестов (/test) — из data/tests/*.json,"Работать на улице, с техникой или оборудованием.","Ochiq havoda, texnika yoki uskunalar bilan ishlash.",
test.riasec.q14,Вопросы тестов (/test) — из data/tests/*.json,"Анализировать данные, факты, статистику.","Maʼlumot, faktlar va statistikani tahlil qilish.",
test.riasec.q15,Вопросы тестов (/test) — из data/tests/*.json,"Писать тексты, музыку или сценарии.","Matn, musiqa yoki ssenariy yozish.",
test.riasec.q16,Вопросы тестов (/test) — из data/tests/*.json,Работать в команде и много общаться.,Jamoada ishlash va koʻp muloqot qilish.,
test.riasec.q17,Вопросы тестов (/test) — из data/tests/*.json,"Продавать, договариваться, вести переговоры.","Sotish, kelishish, muzokara olib borish.",
test.riasec.q18,Вопросы тестов (/test) — из data/tests/*.json,Следовать чётким инструкциям и правилам.,Aniq koʻrsatma va qoidalarga amal qilish.,
test.riasec.q19,Вопросы тестов (/test) — из data/tests/*.json,"Разбираться, как устроены машины и приборы.",Mashina va asboblar qanday ishlashini tushunish.,
test.riasec.q20,Вопросы тестов (/test) — из data/tests/*.json,"Изучать науку, проводить эксперименты.","Fanni oʻrganish, tajribalar oʻtkazish.",
test.riasec.q21,Вопросы тестов (/test) — из data/tests/*.json,Выражать себя через творчество.,Oʻzini ijod orqali ifodalash.,
test.riasec.q22,Вопросы тестов (/test) — из data/tests/*.json,Поддерживать и заботиться о людях.,Odamlarni qoʻllab-quvvatlash va gʻamxoʻrlik qilish.,
test.riasec.q23,Вопросы тестов (/test) — из data/tests/*.json,Брать на себя ответственность и руководить.,Masʼuliyatni oʻz zimmasiga olish va rahbarlik qilish.,
test.riasec.q24,Вопросы тестов (/test) — из data/tests/*.json,"Планировать, вести учёт и контролировать детали.","Rejalashtirish, hisob yuritish va tafsilotlarni nazorat qilish.",
test.riasec.q25,Вопросы тестов (/test) — из data/tests/*.json,"Заниматься физическим трудом, строительством, монтажом.","Jismoniy mehnat, qurilish, montaj bilan shugʻullanish.",
test.riasec.q26,Вопросы тестов (/test) — из data/tests/*.json,Докапываться до сути проблемы логическим путём.,Muammoning mohiyatiga mantiqiy yoʻl bilan yetib borish.,
test.riasec.q27,Вопросы тестов (/test) — из data/tests/*.json,"Работать там, где нет жёстких правил и есть свобода самовыражения.","Qatʼiy qoidalar yoʻq, oʻzini erkin ifodalash imkoni bor joyda ishlash.",
